《资治通鉴》导读（2019春）	['《资治通鉴》导读(自主模式)']
中国近现代史纲要（自主模式）	['中国近现代史纲要（2019春）', '中国近现代史纲要（2019春）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（自主模式）']
中国近现代史纲要（2019春）	['中国近现代史纲要（2019春）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（自主模式）']
中国近现代史纲要（自主模式）	['中国近现代史纲要（2019春）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）']
中国近现代史纲要（自主模式）	['中国近现代史纲要（2019春）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）', '中国近现代史纲要（2019春）', '中国近现代史纲要（自主模式）']
电路原理	['电路原理（2019春）', '电路原理（2019春）']
电路原理（2019春）	['电路原理', '电路原理（2019春）']
电路原理（2019春）	['电路原理', '电路原理（2019春）']
西方思想经典与现代社会（2019春）	['西方思想经典与现代社会（自主模式）']
西方思想经典与现代社会（自主模式）	['西方思想经典与现代社会（2019春）']
中国古代礼义文明（下）（自主模式）	['中国古代礼义文明（上）（自主模式）']
中国古代礼义文明（上）（自主模式）	['中国古代礼义文明（下）（自主模式）']
循证医学（2019夏）	['循证医学（自主模式）', '循证医学（2018寒假班）']
循证医学（自主模式）	['循证医学（2019夏）', '循证医学（2018寒假班）']
循证医学（2018寒假班）	['循证医学（2019夏）', '循证医学（自主模式）']
高等化工热力学（下）（2019春）	['高等化工热力学（上）（2019春）']
高等化工热力学（上）（2019春）	['高等化工热力学（下）（2019春）']
创新创业基础	['创新创业基础（2019春）']
创新创业基础（2019春）	['创新创业基础']
PLC应用技术（自主模式）	['PLC应用技术（2019春）']
PLC应用技术（2019春）	['PLC应用技术（自主模式）']
编译技术（2019春）	['编译技术']
编译技术	['编译技术（2019春）']
职业探索与选择（自主模式）	['职业探索与选择（2019春）']
职业探索与选择（2019春）	['职业探索与选择（自主模式）']
走近冬奥会（2019春）	['走近冬奥会（自主模式）']
走近冬奥会（自主模式）	['走近冬奥会（2019春）']
大学生心理健康教育（自主模式）	['大学生心理健康教育（2019春）']
大学生心理健康教育（2019春）	['大学生心理健康教育（自主模式）']
互联网大规模数据分析技术（2019春）	['互联网大规模数据分析技术（自主模式）']
互联网大规模数据分析技术（自主模式）	['互联网大规模数据分析技术（2019春）']
人工智能（自主模式）	['人工智能（2019春）']
人工智能（2019春）	['人工智能（自主模式）']
生活英语读写（2019春）	['生活英语读写（自主模式）']
生活英语读写（自主模式）	['生活英语读写（2019春）']
印刷色彩基础与实务	['印刷色彩基础与实务（2019春）']
印刷色彩基础与实务（2019春）	['印刷色彩基础与实务']
思想道德修养与法律基础 （2019春）	['思想道德修养与法律基础 (自主模式)']
思想道德修养与法律基础 (自主模式)	['思想道德修养与法律基础 （2019春）']
有机化学（自主模式）	['有机化学（自主模式）', '有机化学（2019春）']
有机化学（自主模式）	['有机化学（自主模式）', '有机化学（2019春）']
有机化学（2019春）	['有机化学（自主模式）', '有机化学（自主模式）']
心理学概论（2019春）	['心理学概论（自主模式）']
心理学概论（自主模式）	['心理学概论（2019春）']
大学国文（上）(自主模式)	['大学国文（下）（自主模式）']
大学国文（下）（自主模式）	['大学国文（上）(自主模式)']
大唐兴衰（2019春）	['大唐兴衰（自主模式）']
大唐兴衰（自主模式）	['大唐兴衰（2019春）']
公共危机管理（2019春）	['公共危机管理(自主模式）']
公共危机管理(自主模式）	['公共危机管理（2019春）']
生活英语听说（自主模式）	['生活英语听说（2019春）']
生活英语听说（2019春）	['生活英语听说（自主模式）']
Hello,心理学（2019春）	['Hello,心理学（自主模式）']
Hello,心理学（自主模式）	['Hello,心理学（2019春）']
足球运动与科学（自主模式）	['足球运动与科学（2019春）']
足球运动与科学（2019春）	['足球运动与科学（自主模式）']
量子力学（上）(自主模式)	['量子力学（下）（自主模式）']
量子力学（下）（自主模式）	['量子力学（上）(自主模式)']
电气控制系统装接与调试（自主模式）	['电气控制系统装接与调试（2019春）']
电气控制系统装接与调试（2019春）	['电气控制系统装接与调试（自主模式）']
中国哲学经典著作导读（2019春）	['中国哲学经典著作导读（自主模式）']
中国哲学经典著作导读（自主模式）	['中国哲学经典著作导读（2019春）']
马克思主义基本原理（1）	['马克思主义基本原理（2019春）']
马克思主义基本原理（2019春）	['马克思主义基本原理（1）']
概率论与数理统计 （2019春）	['概率论与数理统计 （先修课）（2019春）']
概率论与数理统计 （先修课）（2019春）	['概率论与数理统计 （2019春）']
新闻摄影（2019春）	['新闻摄影（2019春）']
新闻摄影（2019春）	['新闻摄影（2019春）']
揭开潜意识心理的奥秘（2019春）	['揭开潜意识心理的奥秘']
揭开潜意识心理的奥秘	['揭开潜意识心理的奥秘（2019春）']
中医与诊断-学做自己的医生（2019春）	['中医与诊断-学做自己的医生（自主模式）']
中医与诊断-学做自己的医生（自主模式）	['中医与诊断-学做自己的医生（2019春）']
自动控制理论（1）（2019春）	['自动控制理论（2）（2019春）']
自动控制理论（2）（2019春）	['自动控制理论（1）（2019春）']
我国周边14个陆地邻国基本情况介绍(自主模式)	['我国周边14个陆地邻国基本情况介绍（2019春）']
我国周边14个陆地邻国基本情况介绍（2019春）	['我国周边14个陆地邻国基本情况介绍(自主模式)']
金融工程（2019春）	['金融工程(自主模式)']
金融工程(自主模式)	['金融工程（2019春）']
马克思主义基本原理概论	['马克思主义基本原理概论（2019春）']
马克思主义基本原理概论（2019春）	['马克思主义基本原理概论']
创业102：你能为客户做什么？（2019春）	['创业102：你能为客户做什么？（自主模式）']
创业102：你能为客户做什么？（自主模式）	['创业102：你能为客户做什么？（2019春）']
循环经济与可持续发展型企业（2019春）	['循环经济与可持续发展型企业(自主模式)']
循环经济与可持续发展型企业(自主模式)	['循环经济与可持续发展型企业（2019春）']
初级财务会计（2019春）	['初级财务会计（自主模式）']
初级财务会计（自主模式）	['初级财务会计（2019春）']
不朽的艺术：走进大师与经典（自主模式）	['不朽的艺术：走进大师与经典（2019春）']
不朽的艺术：走进大师与经典（2019春）	['不朽的艺术：走进大师与经典（自主模式）']
2016年清华大学研究生学位论文答辩（一）	['2016年清华大学研究生学位论文答辩（二）']
2016年清华大学研究生学位论文答辩（二）	['2016年清华大学研究生学位论文答辩（一）']
